起点id,终点id,序号,起点,终点,路径,长度/m
2546,2535,1,1,61,"1,f,e,d,61",1833
2546,2535,2,1,61,"1,f,e,c,61",2035
2546,2535,3,1,61,"1,2,a,b,61",2053
2546,2535,4,1,61,"1,f,e,f,e,d,61",2093
2544,2540,1,13,2,"13,1,2",1611
2544,2540,2,13,2,"13,1,f,2",2365
2544,2540,3,13,2,"13,1,f,e,f,2",2625
2544,2540,4,13,2,"13,1,f,e,f,e,f,2",2885
2545,2542,1,13,2,"13,1,2",1611
2545,2542,2,13,2,"13,1,f,2",2365
2545,2542,3,13,2,"13,1,f,e,f,2",2625
2545,2542,4,13,2,"13,1,f,e,f,e,f,2",2885
2552,2554,1,2,5,"2,a,b,5",1380
2552,2554,2,2,5,"2,a,b,61,b,5",2314
2552,2554,3,2,5,"2,a,b,61,6,5",2341
2552,2554,4,2,5,"2,a,b,a,b,5",2380
2558,2560,1,5,61,"5,b,61",987
2558,2560,2,5,61,"5,6,61",1014
2558,2560,3,5,61,"5,6,62,c,61",1569
2558,2560,4,5,61,"5,6,62,6,61",1704
2560,2562,1,61,62,"61,c,62",790
2560,2562,2,61,62,"61,6,62",925
2560,2562,3,61,62,"61,b,5,6,62",1766
2560,2562,4,61,62,"61,6,5,6,62",1793
2562,2559,1,5,62,"5,6,62",779
2562,2559,2,5,62,"5,b,61,c,62",1777
2562,2559,3,5,62,"5,6,61,c,62",1804
2562,2559,4,5,62,"5,b,61,6,62",1912
76134,76132,1,5,62,"5,6,62",779
76134,76132,2,5,62,"5,b,61,c,62",1777
76134,76132,3,5,62,"5,6,61,c,62",1804
76134,76132,4,5,62,"5,b,61,6,62",1912
76135,76138,1,1,61,"1,f,e,d,61",1833
76135,76138,2,1,61,"1,f,e,c,61",2035
76135,76138,3,1,61,"1,2,a,b,61",2053
76135,76138,4,1,61,"1,f,e,f,e,d,61",2093
76141,76139,1,61,62,"61,c,62",790
76141,76139,2,61,62,"61,6,62",925
76141,76139,3,61,62,"61,b,5,6,62",1766
76141,76139,4,61,62,"61,6,5,6,62",1793
76140,76136,1,1,61,"1,f,e,d,61",1833
76140,76136,2,1,61,"1,f,e,c,61",2035
76140,76136,3,1,61,"1,2,a,b,61",2053
76140,76136,4,1,61,"1,f,e,f,e,d,61",2093
76144,76146,1,1,61,"1,f,e,d,61",1833
76144,76146,2,1,61,"1,f,e,c,61",2035
76144,76146,3,1,61,"1,2,a,b,61",2053
76144,76146,4,1,61,"1,f,e,f,e,d,61",2093
76154,76157,1,1,62,"1,f,e,c,62",2425
76154,76157,2,1,62,"1,f,e,d,61,c,62",2623
76154,76157,3,1,62,"1,f,e,f,e,c,62",2685
76154,76157,4,1,62,"1,f,e,d,61,6,62",2758
76157,76155,1,5,62,"5,6,62",779
76157,76155,2,5,62,"5,b,61,c,62",1777
76157,76155,3,5,62,"5,6,61,c,62",1804
76157,76155,4,5,62,"5,b,61,6,62",1912
76158,76162,1,1,61,"1,f,e,d,61",1833
76158,76162,2,1,61,"1,f,e,c,61",2035
76158,76162,3,1,61,"1,2,a,b,61",2053
76158,76162,4,1,61,"1,f,e,f,e,d,61",2093
76162,76160,1,5,61,"5,b,61",987
76162,76160,2,5,61,"5,6,61",1014
76162,76160,3,5,61,"5,6,62,c,61",1569
76162,76160,4,5,61,"5,6,62,6,61",1704
76160,76163,1,5,61,"5,b,61",987
76160,76163,2,5,61,"5,6,61",1014
76160,76163,3,5,61,"5,6,62,c,61",1569
